File generated on 03-Jul-2017 10:45:04, Level:3, Processing Version: 1.0, Amount of data removed from level 1: 9.3%, Site: Diadema-2016, Instrument: SMPS_TSI, Model:3082," S/N: 3082001629001 - Sizing quantitative, Concentration qualitative", Data processing details can be found in ftp://ftp.lfa.if.usp.br/LFA_Processed_Data/DataProcessing_GoAmazon_LFA.pdf
Time(UTC), UnixTime(UTC),Number concentration (cm-3),Total volume (um3.cm-3), Mean geometric diameter Dpg (nm),,,,
11/22/2016 7:40,1479800400, NaN, NaN, NaN,,,,
11/22/2016 7:45,1479800700, NaN, NaN, NaN,,,,
11/22/2016 7:50,1479801000, NaN, NaN, NaN,,,,
11/22/2016 7:55,1479801300, NaN, NaN, NaN,,,,
11/22/2016 8:00,1479801600, NaN, NaN, NaN,,,,
11/22/2016 8:05,1479801900, NaN, NaN, NaN,,,,
11/22/2016 8:10,1479802200, NaN, NaN, NaN,,,,
11/22/2016 8:15,1479802500, NaN, NaN, NaN,,,,
11/22/2016 8:20,1479802800, NaN, NaN, NaN,,,,
11/22/2016 8:25,1479803100, NaN, NaN, NaN,,,,
11/22/2016 8:30,1479803400, NaN, NaN, NaN,,,,
11/22/2016 8:35,1479803700, NaN, NaN, NaN,,,,
11/22/2016 8:40,1479804000, NaN, NaN, NaN,,,,
11/22/2016 8:45,1479804300, NaN, NaN, NaN,,,,
11/22/2016 8:50,1479804600, NaN, NaN, NaN,,,,
11/22/2016 8:55,1479804900, NaN, NaN, NaN,,,,
11/22/2016 9:00,1479805200, NaN, NaN, NaN,,,,
11/22/2016 9:05,1479805500, NaN, NaN, NaN,,,,
11/22/2016 9:10,1479805800, NaN, NaN, NaN,,,,
11/22/2016 9:15,1479806100, NaN, NaN, NaN,,,,
11/22/2016 9:20,1479806400, NaN, NaN, NaN,,,,
11/22/2016 9:25,1479806700, NaN, NaN, NaN,,,,
11/22/2016 9:30,1479807000, NaN, NaN, NaN,,,,
11/22/2016 9:35,1479807300, NaN, NaN, NaN,,,,
11/22/2016 9:40,1479807600, NaN, NaN, NaN,,,,
11/22/2016 9:45,1479807900, NaN, NaN, NaN,,,,
11/22/2016 9:50,1479808200, NaN, NaN, NaN,,,,
11/22/2016 9:55,1479808500, NaN, NaN, NaN,,,,
