Time(UTC) - 3,index, UnixTime(UTC),Real,Imaginária
2016-11-30 13:00:00,416.0,1480521600.0,1.5285729054816326,0.014928745989309466
2016-11-30 13:30:00,417.0,1480523400.0,1.5105710974131803,0.015240703254373995
2016-11-30 14:00:00,418.0,1480525200.0,1.5170666442508969,0.039765689422410516
2016-11-30 14:30:00,419.0,1480527000.0,1.4523928392630556,0.037603837005676856
2016-11-30 15:00:00,420.0,1480528800.0,1.488155662681702,0.029942059208284875
2016-11-30 15:30:00,421.0,1480530600.0,1.4853652851257357,0.027017591670511553
2016-11-30 16:00:00,422.0,1480532400.0,1.529498532879495,0.015682825300953114
2016-11-30 16:30:00,423.0,1480534200.0,1.4911073346977075,0.029423600905391194
2016-11-30 17:00:00,424.0,1480536000.0,1.5058763180970203,0.02214930769303084
2016-11-30 17:30:00,425.0,1480537800.0,1.4297345685129794,0.01836220951328047
2016-11-30 18:00:00,426.0,1480539600.0,1.4870379160646863,0.02007314959755165
2016-11-30 18:30:00,427.0,1480541400.0,1.4537869530770449,0.01920168477464251
2016-11-30 19:00:00,428.0,1480543200.0,1.4631752517618146,0.022353484718935942
2016-11-30 19:30:00,429.0,1480545000.0,1.4404745167100181,0.012527817123520033
2016-11-30 20:00:00,430.0,1480546800.0,1.4751104086100715,0.013748234668948969
2016-11-30 20:30:00,431.0,1480548600.0,1.495051458695953,0.021706959885897686
2016-11-30 21:00:00,432.0,1480550400.0,1.4826254030927126,0.019537456217154317
2016-11-30 21:30:00,433.0,1480552200.0,1.4763679442901612,0.010109025859828962
2016-11-30 22:00:00,434.0,1480554000.0,1.4544188964613285,0.019529073456416454
2016-11-30 22:30:00,435.0,1480555800.0,1.4443518326159124,0.009628443799078646
2016-11-30 23:00:00,436.0,1480557600.0,1.5615501896795196,0.023969588101828546
2016-11-30 23:30:00,437.0,1480559400.0,1.5767882395722612,0.06846465890677961
2016-12-01 00:00:00,438.0,1480561200.0,1.5588936747724864,0.03413168151420728
2016-12-01 00:30:00,439.0,1480563000.0,1.464910208433104,0.06650698406217696
2016-12-01 01:00:00,440.0,1480564800.0,1.470921364193256,0.062838623091884
2016-12-01 01:30:00,441.0,1480566600.0,1.5100864372647769,0.06883979242593374
2016-12-01 02:00:00,442.0,1480568400.0,1.5046605888176656,0.016194659788223393
2016-12-01 02:30:00,443.0,1480570200.0,1.490000609806545,0.009729660925882053
2016-12-01 03:00:00,444.0,1480572000.0,1.5089723679546418,0.014835575892245951
2016-12-01 03:30:00,445.0,1480573800.0,1.4486981049960235,0.0244600164545225
2016-12-01 04:00:00,446.0,1480575600.0,1.4712162626464993,0.0210848424451279
2016-12-01 04:30:00,447.0,1480577400.0,1.4846444017554248,0.02652204458903788
2016-12-01 05:00:00,448.0,1480579200.0,1.4632521826615452,0.023199868262449543
