Time(UTC) - 3,index, UnixTime(UTC),Real,Imaginária
2017-07-01 21:00:00,48.0,1498953600.0,1.7515701894512756,0.016626962899193087
2017-07-01 21:30:00,49.0,1498955400.0,1.7835622589097277,0.01386240068839616
2017-07-01 22:00:00,50.0,1498957200.0,1.8812084530149698,0.015229432428753343
2017-07-01 22:30:00,51.0,1498959000.0,1.8088924163556908,0.015921187327582288
2017-07-01 23:00:00,52.0,1498960800.0,1.831508691685698,0.016735284660797187
2017-07-01 23:30:00,53.0,1498962600.0,1.772058933450491,0.015141628576011892
2017-07-02 00:00:00,54.0,1498964400.0,1.7073322035218215,0.016554439482062693
2017-07-03 09:30:00,121.0,1499085000.0,1.3914773363129493,0.04143138432948789
2017-07-03 10:00:00,122.0,1499086800.0,1.2932876040013805,0.0379138753948048
2017-07-03 12:30:00,127.0,1499095800.0,1.1913057843934172,0.023284790499628984
2017-07-03 13:00:00,128.0,1499097600.0,1.2630407377884192,0.033101665641552
2017-07-03 14:00:00,130.0,1499101200.0,1.2026576516387995,0.05304328268506901
2017-07-03 14:30:00,131.0,1499103000.0,1.357842508780467,0.011474748798896144
2017-07-03 15:00:00,132.0,1499104800.0,1.3954219170617999,0.020847319808961474
2017-07-03 15:30:00,133.0,1499106600.0,1.5119447904056915,0.028552289215616915
2017-07-03 16:00:00,134.0,1499108400.0,1.5583476703039143,0.03222208479097669
2017-07-03 16:30:00,135.0,1499110200.0,1.5647930916660604,0.027004731964883327
2017-07-03 17:00:00,136.0,1499112000.0,1.5273973185357823,0.03730719605744202
2017-07-03 17:30:00,137.0,1499113800.0,1.5220368971443248,0.02751034539745672
2017-07-03 18:00:00,138.0,1499115600.0,1.587408303748167,0.029931107746438833
2017-07-03 18:30:00,139.0,1499117400.0,1.643737877197271,0.03904814092298843
2017-07-03 19:00:00,140.0,1499119200.0,1.595929852080526,0.032835516417628205
2017-07-03 19:30:00,141.0,1499121000.0,1.6467589066004642,0.03514454813041748
2017-07-03 20:00:00,142.0,1499122800.0,1.6723694619214988,0.02640507060823673
2017-07-04 09:30:00,169.0,1499171400.0,1.4746457410419076,0.08523757000677987
2017-07-04 10:00:00,170.0,1499173200.0,1.3627284179209533,0.02619798545356197
2017-07-04 10:30:00,171.0,1499175000.0,1.3844744425288977,0.0384604331237533
2017-07-04 11:00:00,172.0,1499176800.0,1.346198206290032,0.04683086801784088
2017-07-04 11:30:00,173.0,1499178600.0,1.445792588309095,0.006598589785621773
2017-07-04 12:00:00,174.0,1499180400.0,1.2742410633409622,0.016776552734682388
2017-07-04 12:30:00,175.0,1499182200.0,1.3188122970668723,0.024438771335408678
2017-07-04 13:00:00,176.0,1499184000.0,1.2476176726675723,0.02227826085771792
2017-07-04 13:30:00,177.0,1499185800.0,1.4499559524876273,0.03595273540193979
2017-07-04 14:00:00,178.0,1499187600.0,1.4128838612780914,0.0383765415000352
2017-07-04 14:30:00,179.0,1499189400.0,1.5570805850927443,0.02943473069027562
2017-07-04 15:00:00,180.0,1499191200.0,1.5379621625724267,0.02193685955507099
2017-07-04 15:30:00,181.0,1499193000.0,1.509621275018537,0.03931468674883886
2017-07-04 16:00:00,182.0,1499194800.0,1.3921200136962306,0.029620555792881944
2017-07-04 16:30:00,183.0,1499196600.0,1.5544915481681598,0.06599545773398635
2017-07-04 17:00:00,184.0,1499198400.0,1.606037651117608,0.03623752612246542
2017-07-04 17:30:00,185.0,1499200200.0,1.4883808291784684,0.022064551077176555
2017-07-04 18:00:00,186.0,1499202000.0,1.6534061335229346,0.03566983995525058
2017-07-04 18:30:00,187.0,1499203800.0,1.5528301702176253,0.017160261573137672
2017-07-04 19:00:00,188.0,1499205600.0,1.5979116549362387,0.01773636916612791
2017-07-04 19:30:00,189.0,1499207400.0,1.631025300006622,0.01615756504312119
2017-07-04 20:00:00,190.0,1499209200.0,1.5999473233853059,0.01519810556880059
2017-07-04 20:30:00,191.0,1499211000.0,1.64474258083135,0.012940819130806807
2017-07-04 21:00:00,192.0,1499212800.0,1.5056078998652018,0.005845766764897169
2017-07-04 21:30:00,193.0,1499214600.0,1.49328187585341,0.013276681080129455
2017-07-04 22:00:00,194.0,1499216400.0,1.7745978287504474,0.01232616965692261
2017-07-04 22:30:00,195.0,1499218200.0,1.5481808737100102,0.028849842035635
2017-07-04 23:00:00,196.0,1499220000.0,1.646192809333623,0.010298170604792146
2017-07-04 23:30:00,197.0,1499221800.0,1.5897743793094914,0.011856661565512527
2017-07-05 00:00:00,198.0,1499223600.0,1.6140987234845696,0.014695470444306753
